iter	Accuracy	Logloss
534	0.9118437566	0.2296688925
535	0.9118760739	0.2295809008
536	0.911903005	0.2295098675
537	0.9119191636	0.2294395604
538	0.911978412	0.2293588758
539	0.911978412	0.2292774972
540	0.9119730258	0.2292049482
541	0.9119568672	0.2291289322
542	0.912026888	0.2290534306
543	0.9120861364	0.2289894965
544	0.9121238399	0.2289124615
545	0.9121184537	0.2288368028
546	0.9121830884	0.2287490968
547	0.9121561573	0.2286780647
548	0.9121615435	0.2286034269
549	0.9121884746	0.2285295136
550	0.9122261781	0.2284578124
551	0.9122369505	0.2283871828
552	0.912247723	0.2283118854
553	0.91232313	0.2282344756
554	0.9123608336	0.228172389
555	0.9124308544	0.2281004161
556	0.9124416269	0.2280335856
557	0.912420082	0.2279627731
558	0.9124470131	0.2278828842
559	0.9125062615	0.2278193344
560	0.9125655099	0.2277443399
561	0.912592441	0.227677946
562	0.9125978272	0.2276081229
563	0.9126516894	0.2275298221
564	0.9126840067	0.2274644316
565	0.912667848	0.2273895773
566	0.9127378689	0.2273194241
567	0.9127971173	0.2272490224
568	0.9128348208	0.2271745939
569	0.9128994555	0.2271060208
570	0.9128671381	0.227035496
571	0.912937159	0.2269596658
572	0.9129317728	0.2268917659
573	0.9129479314	0.226822036
574	0.9129587039	0.2267450155
575	0.9129802487	0.2266762224
576	0.9129964074	0.2266081508
577	0.9130718145	0.2265436976
578	0.9130718145	0.2264725462
579	0.913157994	0.2263989003
580	0.913157994	0.2263287478
581	0.913157994	0.2262595176
582	0.9132280148	0.2262004347
583	0.9132872632	0.2261339269
584	0.9132657183	0.226057206
585	0.9132764908	0.2259743596
586	0.9133465116	0.2258984857
587	0.9133896014	0.2258167427
588	0.9133842151	0.2257418275
589	0.9134111462	0.2256677555
590	0.91340576	0.2255863439
591	0.9134380773	0.2255174999
592	0.9135242568	0.225444547
593	0.9135242568	0.2253765705
594	0.9135996639	0.2253120729
595	0.9136642985	0.2252453333
596	0.9137235469	0.2251740695
597	0.9137235469	0.2251027678
598	0.9137397056	0.2250432214
599	0.9137720229	0.2249708481
600	0.913798954	0.2249027819
601	0.9138420437	0.2248286513
602	0.9138528162	0.2247573479
603	0.9138420437	0.2246911961
